check_key,severity,passed,actual_value,details
application-roles-denied,blocking,true,false,"{""expected_any_access"":false}"
content-review-before-application,blocking,true,0,"{""expected"":0}"
dependency-snapshot-count,blocking,true,0,"{""expected"":0}"
dry-run-result-count,blocking,true,0,"{""expected"":0}"
migration-run-status,blocking,true,reviewing,"{""expected"":""reviewing""}"
prior-application-audit-event-count,blocking,true,0,"{""expected"":0}"
production-section-count,blocking,true,908,"{""expected"":908}"
reading-segment-total,blocking,true,812,"{""expected"":812}"
rights-status,blocking,true,blocked,"{""expected"":""blocked""}"
successor-mapping-count,blocking,true,0,"{""expected"":0}"
target-boundary-review-count,blocking,true,166,"{""expected"":166}"
target-content-remains-null,blocking,true,0,"{""expected"":0}"
target-end-successor-locator-match,blocking,true,0,"{""expected_mismatches"":0}"
target-key-uniqueness,blocking,true,0,"{""expected_duplicates"":0}"
target-manifest-count,blocking,true,166,"{""expected"":166}"
target-rows-present,blocking,true,166,"{""expected"":166}"
target-start-locator-match,blocking,true,0,"{""expected_mismatches"":0}"
target-successor-key-match,blocking,true,0,"{""expected_mismatches"":0}"
unaffected-segment-count,blocking,true,646,"{""expected"":646}"
