check_key,severity,passed,actual_value,details
application-audit-decision-count,blocking,true,166,"{""expected"":166}"
application-audit-event-count,blocking,true,1,"{""expected"":1}"
application-roles-denied,blocking,true,false,"{""expected_any_access"":false}"
content-remains-null,blocking,true,0,"{""expected"":0}"
dependency-snapshot-count,blocking,true,0,"{""expected"":0}"
dry-run-result-count,blocking,true,0,"{""expected"":0}"
migration-run-status,blocking,true,reviewing,"{""expected"":""reviewing""}"
non-target-boundary-review-count,blocking,true,646,"{""expected"":646}"
non-target-content-review-count,blocking,true,0,"{""expected"":0}"
production-section-count,blocking,true,908,"{""expected"":908}"
reading-segment-total,blocking,true,812,"{""expected"":812}"
rights-status,blocking,true,blocked,"{""expected"":""blocked""}"
segment-key-uniqueness,blocking,true,0,"{""expected_duplicates"":0}"
segment-order-contiguous,blocking,true,0,"{""expected_invalid_books"":0}"
successor-mapping-count,blocking,true,0,"{""expected"":0}"
target-boundary-review-count,blocking,true,0,"{""expected"":0}"
target-content-review-count,blocking,true,166,"{""expected"":166}"
target-end-locator-unchanged,blocking,true,0,"{""expected_mismatches"":0}"
target-start-locator-unchanged,blocking,true,0,"{""expected_mismatches"":0}"
unexpected-approval-status-count,blocking,true,0,"{""expected"":0}"
